sweep,case_id,baseline_case_id,varied_parameter,inlet_air_temp_c,humid_air_mass_flow_kg_h,air_flow_m3_h,feed_rate_kg_h,feed_total_solids,droplet_size_um,inlet_u_a_ms,outlet_u_a_ms,outlet_tau_s,Tout_pre_cyclone_c,Yout_g_kg_da,RHout_pct,powder_moisture_wb_pct,powder_moisture_db,Re_mean,hm_mean_ms,Nu_mean,total_q_loss_w
air_mass_sweep,air_200,air_200,humid_air_mass_flow_kg_h,190.0,200.0,263.328630173908,3.0,0.4,95.0,0.1455210178812329,0.12385281824526483,7.039314484018538,115.78954730827945,14.16789079190447,1.219971022495555,8.816011791415956,0.09668377052393524,4.957796258734503,1.439019330785945,2.655541740220201,2741.057593623864
air_mass_sweep,air_250,air_200,humid_air_mass_flow_kg_h,190.0,250.0,329.160787717385,3.0,0.4,95.0,0.18190127235154113,0.1590919712283808,6.178296504765652,127.61000827297045,12.456502601767895,0.745223894832356,9.121738653938811,0.10037316426206214,4.93445545879825,1.4809108769624661,2.6483264494652228,2932.9292601152238
feed_rate_sweep,feed_10,feed_10,feed_rate_kg_h,190.0,200.0,263.328630173908,10.0,0.4,95.0,0.1455210178812329,0.11513977221328194,7.101395145805741,77.44232237716085,34.10093008726523,11.373402923563805,8.08839452530148,0.08800188489285021,5.098608812428611,1.2538968237863781,2.7026442255884566,1853.8916735228172
feed_rate_sweep,feed_20,feed_10,feed_rate_kg_h,190.0,200.0,263.328630173908,20.0,0.4,95.0,0.1455210178812329,0.10642585476951331,6.759001696604282,40.272811180135534,56.36580372431561,99.9999,19.389544362623162,0.24053386386806094,5.363878341472914,1.079671707018141,2.7848633030076946,995.8992112189267
