h_m,tau_s,X_db,T_a_c,T_p_c,Y_kg_kg_da,dX_dh_current,dY_dh_current,dT_p_dh_current,dT_p_dh_matlab_like,dT_p_dh_delta,dH_h_dh_current,dH_h_dh_matlab_like,dT_a_dh_current,dT_a_dh_matlab_like,h_fg_current_j_kg,h_fg_particle_j_kg,q_sorption_j_kg
0.0,0.0,1.4999999999999998,190.0,40.0,0.0057,-8.62271122868327,0.09786639405560901,119.1151010814588,119.1151010814588,0.0,-75982.19132152699,-75982.19132152699,-350.43067615615684,-351.23012041444304,1982133.8258250002,2405540.175825,0.0
0.01680672268907563,0.0033613445378151254,1.3783827683391001,184.5365563566038,46.30330553806078,0.007080336138137779,-6.382716540647817,0.07244281242243113,487.0278749798972,487.0278749798967,5.115907697472721e-13,-103547.34721348449,-103547.34721348446,-304.3300350578161,-306.2074499003147,2000264.0963103296,2390854.5496560764,0.0
0.03361344537815126,0.006722689075630251,1.2768801299374535,179.67693364799925,54.1544602974202,0.008232374858216367,-5.753910342205365,0.06530596258839398,435.64296897168447,435.6429689716842,2.8421709430404007e-13,-95335.20294847235,-95335.20294847232,-275.0979420204862,-277.80562410315173,2016218.53541524,2372181.5269765044,0.0
0.05042016806722689,0.010084033613445377,1.1841674977053427,175.26237562277362,60.87656714373816,0.009284648413403722,-5.290186995643674,0.06004277673376083,365.63470894479224,365.63470894479224,0.0,-86585.70865526181,-86585.70865526181,-250.8858928814665,-254.21149843180243,2030571.3708623648,2355857.7951336442,0.0
0.06722689075630252,0.013445378151260502,1.0987717800370091,171.22448594130003,66.50667386949209,0.010253876157943055,-4.879267413025804,0.055378905158904916,306.2718030897532,306.27180308975375,-5.684341886080801e-13,-79437.7369777776,-79437.73697777765,-230.14454750883073,-233.90819166058725,2043582.4969677022,2341947.301743865,0.0
0.08403361344537814,0.016806722689075626,1.0199322451445516,167.51081957510036,71.23001441271083,0.011148692276019695,-4.509064100301121,0.05117715673860692,257.4377929452999,257.4377929453002,-2.8421709430404007e-13,-73662.67762138402,-73662.67762138403,-212.21407126404233,-216.27700122492752,2055450.1532414888,2330109.449152703,0.0
0.10084033613445378,0.02016806722689075,0.9470033678633423,164.0783456390957,75.2066602094311,0.011976423375061253,-4.175285122499316,0.047388818697044324,217.08099268334462,217.080992683344,6.252776074688882e-13,-68946.05139770148,-68946.05139770143,-196.6103234568018,-200.867552807986,2066335.076727814,2320024.3302634084,0.0
0.11764705882352941,0.02352941176470588,0.8794047070888626,160.89127381774256,78.56456587495745,0.01274365736881717,-3.874132769725993,0.043970787634001474,183.51662037212688,183.51662037212688,0.0,-65047.77742995385,-65047.77742995385,-182.94715470767804,-187.3194788404385,2076369.428284924,2311423.913499275,0.0
0.13445378151260504,0.026890756302521003,0.8166177551661821,157.9197120169705,81.40623123394778,0.013456279236284483,-3.6020572204912242,0.04088277364302706,155.44262443840452,155.44262443840452,0.0,-61788.8551349248,-61788.8551349248,-170.9132871149212,-175.3410402237092,2085662.484676194,2304085.287606173,0.0
0.15126050420168066,0.030252100840336135,0.7584209920100143,155.1410023286486,83.90784025645496,0.014116803195019933,-3.3354262445661713,0.03785655468877158,138.9325363204079,138.9325363204081,-1.9895196601282805e-13,-59413.020656918794,-59413.0206569188,-159.99621403271433,-164.40732574559087,2094297.6230498394,2297579.0121390554,0.0
