case_id,humid_air_mass_flow_kg_h,h_m,tau_s,T_a_c,T_p_c,Y_g_kg_da,RH_a_pct,X_db,U_a_ms,U_p_ms,relative_velocity_ms,Re,h_m_ms,Nu,psi,driving_force_kg_m3,dX_dh,dX_dt,dY_dh,dY_dt,dH_h_dh,dH_dt_j_kg_da_s,dU_p_dh
air_200,200.0,0.0,0.0,190.0,40.0,5.7,0.07005141385431453,1.4999999999999998,0.1455210178812329,30.0,29.854478982118767,83.58339816457239,3.8772945671025947,6.7884953504886045,0.5873426798527622,0.028948382020485483,-0.5057088070105162,-15.171264210315487,0.003051548083262858,0.09154644249788574,-38954.164213707845,-1168624.9264112352,-180.84917323050996
air_200,200.0,0.008032128514056224,0.0002743956093593408,189.62244115090164,40.7037278027031,5.7251128884453175,0.0709375376531404,1.4958382406209072,0.1454082068163528,28.565210327461138,28.419802120644786,79.64304655708727,3.808734884424546,6.67459915679001,0.576489841787481,0.0294663756944703,-0.5306222056539994,-15.157334908927831,0.0032018805133573643,0.09146239030745235,-38796.14351506295,-1108219.9994021405,-176.42983085036929
air_200,200.0,0.01606425702811245,0.0005627413093520291,189.24269103802885,41.39589157424774,5.751448901587626,0.07185312835061024,1.4914737825084303,0.14529498081398884,27.16574168035246,27.02044669953847,75.79328610318677,3.7402704666170785,6.560554825810615,0.5653708801856719,0.02993797825195937,-0.5562228319038747,-15.110205768214769,0.0033563598122743617,0.09117800364656159,-38645.55317317357,-1049835.1145967585,-172.04796003114276
air_200,200.0,0.024096385542168672,0.0008661360355041607,188.86059262123786,42.077922580068105,5.779043332925223,0.07279954744747644,1.4869007767516444,0.14518129790418863,25.801308380230495,25.656127082326307,72.03371469620761,3.6718861422471596,6.446339185843549,0.5540022948151704,0.03036328212076082,-0.5825764407752503,-15.031234403499319,0.0035153827589260163,0.09070147463759562,-38502.98275769043,-993427.3316898682,-167.70281845369627
air_200,200.0,0.0321285140562249,0.001185794021026876,188.47597520645718,42.751362286334086,5.807934781080844,0.07377826903612227,1.4821128267076251,0.14506711254566867,24.47162468226882,24.326557569723153,68.36392130085247,3.6035652666297358,6.33192632581917,0.5424004852157052,0.030742757102678507,-0.6097652824912083,-14.921947137402475,0.0036794456676084502,0.09004201341651404,-38368.98299658696,-938951.3513328301,-163.3935981568078
air_200,200.0,0.040160642570281124,0.0015230681558404337,188.08865157411987,43.41786120430476,5.838166312837261,0.07479090519722148,1.4771027952608025,0.14495237498622657,23.176413316290848,23.031460941304623,64.78350953052357,3.535289972717257,6.21728798262008,0.5305813773837705,0.031077205276887405,-0.6378899182257012,-14.784000395093821,0.003849155344557527,0.08920961518407515,-38244.07128680451,-886360.4030406724,-159.11944873248325
air_200,200.0,0.048192771084337345,0.0018794672260204937,187.69841615464554,44.079181086958215,5.869786074948697,0.07583922422573637,1.4718627034323186,0.14483703082316204,21.915396920380996,21.770559889557834,61.29207369673828,3.467040538948995,6.102392396484545,0.5185603576431542,0.031367734398423476,-0.667072112325303,-14.61915011612599,0.004025246540193345,0.08821487563072748,-38128.734798982834,-835606.3571916521,-154.87943561158525
air_200,200.0,0.056224899598393566,0.0022566875729786787,187.30504134082196,44.73719503108259,5.902848712032156,0.07692518366075395,1.4663834954041692,0.14472102016266647,20.688303313541283,20.543582293378616,57.889213394798325,3.3987954122861486,5.987204292855482,0.5063519192700302,0.0316157020099901,-0.697457474303669,-14.42921177669073,0.004208597891443201,0.08706874970290723,-38023.44176369364,-786640.4962320671,-150.67254722778986
air_200,200.0,0.0642570281124498,0.002656640477915352,186.90827442347984,45.39388346712542,5.937416616210652,0.07805096226840233,1.4606548314257635,0.14460427693389424,19.494869782931772,19.35026550599788,54.57454559458782,3.3305311709283685,5.871684764278696,0.4939694629158526,0.03182265563112702,-0.7292186138320625,-14.21602191994607,0.004400250959585433,0.0857823194693386,-37928.65752919087,-739414.2395729907,-146.49769475631308
air_200,200.0,0.07228915662650602,0.003081487512730431,186.50783374759817,46.0513386169373,5.973561310197527,0.07921899735062587,1.4546648586063549,0.14448672798632423,18.334844076329233,18.190357348342907,51.347707674222576,3.2622222786711297,5.755790791524854,0.4814251367101238,0.03199028425730582,-0.7625593788806463,-13.981407310719117,0.004601435804041597,0.08436660799434133,-37844.860114216914,-693879.6092846585,-142.35369661912247
