velocity_mode,case_id,humid_air_mass_flow_kg_h,air_flow_m3_h,feed_rate_kg_h,fixed_particle_velocity_ms,fixed_air_velocity_ms,Tout_pre_cyclone_c,Yout_g_kg_da,RHout_pct,powder_moisture_wb_pct,powder_moisture_db,tau_out_s,U_a_out_ms,U_p_out_ms,Re_mean,h_m_mean_ms,warnings
dynamic,air_200,200.0,263.328630173908,3.0,,,115.78573197490914,14.168620771124633,1.2201819088137786,8.805952303506007,0.09656279687039879,7.048204515409259,0.12385174541921255,0.24236243973917623,4.952049636062592,1.43863023297479,
dynamic,air_250,250.0,329.160787717385,3.0,,,127.60284899950011,12.457035848302942,0.7454152928825111,9.112614723326834,0.10026270087522966,6.186081155431118,0.15908926288457256,0.2758488476435762,4.928138422137582,1.4806092532757633,
dynamic,feed_10,200.0,263.328630173908,10.0,,,77.45267482513725,34.10184769355976,11.36890959097965,8.084540479661909,0.0879562646137133,7.11054555832159,0.11514333315188009,0.2404539566029096,5.098394376046362,1.252512219946872,
dynamic,feed_20,200.0,263.328630173908,20.0,,,40.27881882743708,56.385553307237885,99.9999,19.35763014920469,0.24004292265988986,6.767584020635087,0.10643099327277902,0.2540709282167704,5.371311344213822,1.0773362642319275,
foods_fixed_vp5_va100,air_200,200.0,263.328630173908,3.0,5.0,100.0,116.1197848323988,14.112716283186368,1.2025226354233969,9.569974749887004,0.10582740327029873,0.40000000000000097,100.0,5.0,282.9450228254353,5.752446132934917,Die Geschwindigkeitsdiagnose nutzt feste Partikel- und/oder Luftgeschwindigkeiten; Drag-gekoppelte Geschwindigkeitsentwicklung und/oder lokale Kontinuitaetsgeschwindigkeit sind dabei bewusst ueberschrieben.
foods_fixed_vp5_va100,air_250,250.0,329.160787717385,3.0,5.0,100.0,127.85003771358186,12.420448476598219,0.7377796569788017,9.734409916091426,0.10784186872364727,0.40000000000000085,100.0,5.0,273.21112328422157,5.877945570412268,Die Geschwindigkeitsdiagnose nutzt feste Partikel- und/oder Luftgeschwindigkeiten; Drag-gekoppelte Geschwindigkeitsentwicklung und/oder lokale Kontinuitaetsgeschwindigkeit sind dabei bewusst ueberschrieben.
foods_fixed_vp5_va100,feed_10,200.0,263.328630173908,10.0,5.0,100.0,78.06692617564084,33.95277163297831,11.04325506134657,8.706465524353899,0.09536782176701107,0.40000000000000097,100.0,5.0,335.5515804143327,5.160541697100285,Die Geschwindigkeitsdiagnose nutzt feste Partikel- und/oder Luftgeschwindigkeiten; Drag-gekoppelte Geschwindigkeitsentwicklung und/oder lokale Kontinuitaetsgeschwindigkeit sind dabei bewusst ueberschrieben.
foods_fixed_vp5_va100,feed_20,200.0,263.328630173908,20.0,5.0,100.0,41.82149331550386,55.523324564014025,92.24626952915378,20.727811912042686,0.2614764700205313,0.400000000000001,100.0,5.0,408.3610087691458,4.580253542837148,Die Geschwindigkeitsdiagnose nutzt feste Partikel- und/oder Luftgeschwindigkeiten; Drag-gekoppelte Geschwindigkeitsentwicklung und/oder lokale Kontinuitaetsgeschwindigkeit sind dabei bewusst ueberschrieben.
