scenario,h_m,section,T_a_c,T_p_c,X_db,Y_kg_kg_da,RH_a_pct,dX_dh,dY_dh,dT_p_dh,dH_h_dh_model,dH_h_dh_sensible_only,dH_particle_sensible_dh,dH_particle_liquid_dh,dH_q_loss_dh,dT_a_dh_model,dT_a_dh_sensible_only,cp_air_j_kg_da_k,liquid_term_share_of_dH_pct
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.0,cylinder,180.0,40.0,1.7027027027027026,0.0057,0.08752359327557722,-1.9099472657041512,0.039743571186172374,-6.845837390709318,7883.680132445359,1229.0165730326564,1229.0165730326564,6654.663559412703,-0.0,-103.490030995595,-110.02894916449992,1017.701,84.41062356177254
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.01316614420062696,cylinder,178.5631968521717,39.96709368484346,1.6763600130403373,0.006248157836936657,0.09906224047724178,-2.051014577347105,0.042679002359062225,13.47981565185498,4751.225342237831,-2389.067957936165,-2389.067957936165,7140.293300173995,-0.0,-114.54848611229801,-121.557301433964,1018.7589446252878,150.28319614095406
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.02633228840125392,cylinder,176.97501293773132,40.43848568390678,1.6487759970848077,0.006822146093793021,0.11209551460530506,-2.156609698698857,0.044876302409023884,56.859671884995585,-2344.333189339355,-9940.79176592289,-9940.79176592289,7596.458576583535,-0.0,-127.37742067108397,-134.82590218738179,1019.8667419610206,324.0349371466372
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.03949843260188088,cylinder,175.18795390855564,41.44118526849661,1.619078819165037,0.007440106561014449,0.12731187510597836,-2.3732816683961726,0.0493849702693057,94.82696061349921,-7766.3772208836845,-16333.32636716983,-16333.32636716983,8566.949146286144,-0.0,-144.92386554759253,-153.31412090274048,1021.059405662758,110.30817719296113
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.05266457680250784,cylinder,173.12714820071085,42.92934532363694,1.585636779238607,0.008135992839286574,0.14595989185566483,-2.738424441248779,0.05698312653600958,131.4404040340992,-12016.874820035202,-22256.870273678003,-22256.870273678003,10239.995453642803,-0.0,-169.76852030407198,-179.7841411504342,1022.4024661798231,85.21346528941213
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.0658307210031348,cylinder,170.65739557633037,44.92224007733381,1.5458497812953107,0.008963909616591164,0.17030155365060767,-3.363863235391833,0.06999771164208267,172.76353606871132,-15492.713090878597,-28655.39756522551,-28655.39756522551,13162.684474346917,-0.0,-208.6054475104944,-221.45962722969,1024.000345560021,84.9604868891331
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.07899686520376176,cylinder,167.50223152072175,47.550817366309275,1.4946870616640884,0.010028540680628424,0.2052223736295292,-4.549936738887945,0.09467839134705436,231.25911388534018,-18481.622792955775,-37327.14086543396,-37327.14086543396,18845.518072478182,-0.0,-278.620367339249,-296.9873325980183,1026.055083513613,101.96895739946117
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.09216300940438872,cylinder,162.91273578456526,51.26467883164162,1.4187514057222252,0.011608665012690277,0.26523578400184267,-7.546587978505188,0.1570348888276019,352.4461575201402,-20857.779374822334,-54556.51576350695,-54556.51576350695,33698.73638868461,-0.0,-449.88346048973557,-482.629142848388,1029.1047234744922,161.56435343909496
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.10532915360501569,cylinder,152.5166125398746,58.67990207189649,1.2387380893723137,0.01535451296424303,0.4547326630734916,-28.648948618452494,0.5961481498844854,1030.9825138373742,3010.419853871006,-143423.87656871934,-143423.87656871934,146434.29642259039,-0.0,-1605.115902726657,-1746.4161657177094,1036.334210020989,4864.248295276655
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.11849529780564265,cylinder,122.51376853118154,73.90266900082673,0.665260544387223,0.027287850623376495,1.8629488590791263,-34.62800679184068,0.7205647389742952,958.6159377817846,137440.4447683401,-85470.99310004142,-85470.99310004142,222911.43786838153,-0.0,-1732.235516461772,-1942.6552695961007,1059.3655517031166,162.18765752985252
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.1316614420062696,cylinder,106.71077097407817,83.33151589834853,0.34122172361305936,0.03403068597374066,3.8330944823084625,-16.769807966122897,0.3489583553681659,494.32957231033333,91603.51999433138,-30122.13150387374,-30122.13150387374,121725.65149820513,-0.0,-795.4368239945471,-908.9467174930322,1072.3792239293196,132.8831594088718
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.14482758620689656,cylinder,99.32703330300808,87.87768630747257,0.18327205114309603,0.03731741758375098,5.4005545529231105,-8.262162015888016,0.17192507360095807,229.32142306654467,52424.957735129814,-10818.711259697406,-10818.711259697406,63243.66899482722,-0.0,-380.55926868744245,-439.1875648411424,1078.7226159366394,120.63656648872758
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.1579937304075235,cylinder,95.73574771134508,89.99656008526608,0.10472504849521862,0.038951880716451906,6.394426109985836,-4.154342387876403,0.08644657650452336,108.41807710169756,28193.57357015958,-4373.064876139183,-4373.064876139183,32566.638446298766,-0.0,-188.54456018623392,-218.64653530871237,1081.8771297827523,115.51085698752176
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.1711598746081505,cylinder,94.04670471394348,90.82224597031473,0.0672779752230569,0.03973110664013586,6.927476806726094,-1.8323177336709837,0.03812819944899932,51.42515228930758,12589.148911463391,-1906.5032234153236,-1906.5032234153236,14495.652134878714,-0.0,-82.7872463787803,-96.16725918652509,1083.3810358154622,115.14401995578355
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.18432601880877744,cylinder,93.20815451628499,91.33931703479948,0.048684971544633734,0.04011800337730088,7.209098421340915,-1.0626838067234836,0.02211309719346437,29.253259352621363,7417.723157988933,-1037.1395290143566,-1037.1395290143566,8454.86268700329,-0.0,-47.84039203951541,-55.63916180088082,1084.1277465181906,113.98191206283225
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.19749216300940442,cylinder,92.72231959854969,91.634875545856,0.03788173002291272,0.04034280508055713,7.3778093086415835,-0.6185949238463099,0.012872172877624837,16.81726722334981,4357.143440571422,-580.4108305062955,-580.4108305062955,4937.554271077717,-0.0,-27.78974320754803,-32.34232390764582,1084.5616138054754,113.3209025230112
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.21065830721003137,cylinder,92.43967259628789,91.80538006615052,0.031586209820664166,0.04047380684160304,7.477889148767282,-0.360898602271515,0.007509840479852203,9.737013457778252,2555.299584741904,-330.71199247902337,-330.71199247902337,2886.011577220928,-0.0,-16.193212938296632,-18.853586410145713,1084.8144472042939,112.94220037657256
